服务器,设备类型,设备,R/W,变量名,描述,变量类型,禁用,绑定行为,刷新率,备注
192.168.127.30,IZU,IZU01,R,DB21.DBX0.0,心跳信号,BOOL,,R01,100,HEARTBEAT，IZU下属所有设备共用
,IZU,IZU01,R,DB21.DBX0.1,硬件通讯端口连接正常,BOOL,,R02,100,
,IZU,IZU01,R,DB21.DBX0.2,IZU系统待机状态,BOOL,,R03,100,
,IZU,IZU01,R,DB21.DBX0.3,IZU系统自动运行状态,BOOL,,R04,100,
,IZU,IZU01,R,DB21.DBX0.4,IZU系统报错,BOOL,,R05,100,
,IZU,IZU01,R,DB21.DBX0.5,硬件通讯端口连接异常,BOOL,,R06,100,
,IZU,IZU01,R,DB21.DBX0.6,联机请求OK,BOOL,,R07,100,
,IZU,IZU01,R,DB21.DBX0.7,IZU失电状态,BOOL,,R08,100,
,IZU,IZU01,R,DB21.DBX1.0,IZU紧急停止按钮,BOOL,,R09,100,
,IZU,IZU01,R,DB21.DBX1.1,IZU停止按钮,BOOL,,R10,100,
,IZU,IZU01,W,DB2.DBX0.0,心跳信号,BOOL,,W01,100,
,IZU,IZU01,W,DB2.DBX0.1,联机请求,BOOL,,W02,100,
,IZU,IZU01,W,DB2.DBX0.2,联机正常,BOOL,,W03,100,
,IZU,IZU01,W,DB2.DBX0.3,联机失败/中断,BOOL,,W04,100,
,IZU,IZU01,R,DB21.DBX1.2,PSP_1#通讯异常,BOOL,,R11,100,
,IZU,IZU01,R,DB21.DBX1.3,PSP_2#通讯异常,BOOL,,R12,100,
,IZU,IZU01,R,DB21.DBX1.4,PSP_3#通讯异常,BOOL,,R13,100,
,IZU,IZU01,R,DB21.DBX1.5,PSP_4#通讯异常,BOOL,,R14,100,
,IZU,IZU01,R,DB21.DBX1.6,PSP_5#通讯异常,BOOL,,R15,100,
,IZU,IZU01,R,DB21.DBX1.7,PSP_6#通讯异常,BOOL,,R16,100,
,IZU,IZU01,R,DB21.DBX2.0,PSP_7#通讯异常,BOOL,,R17,100,
,IZU,IZU01,R,DB21.DBX2.1,PSP_8#通讯异常,BOOL,,R18,100,
,IZU,IZU01,R,DB21.DBX2.2,Auto Door_1#通讯异常,BOOL,,R19,100,
,IZU,IZU01,R,DB21.DBX2.3,Auto Door_2#通讯异常,BOOL,,R20,100,
192.168.127.30,AutoDoor,AD01,R,DB320.DBX0.1,上电完成,BOOL,,R00,100,
,AutoDoor,AD01,R,DB320.DBX0.2,系统待机状态,BOOL,,R01,100,
,AutoDoor,AD01,R,DB320.DBX0.3,系统自动运行状态,BOOL,,R02,100,
,AutoDoor,AD01,R,DB320.DBX0.4,门关闭状态,BOOL,,R03,100,
,AutoDoor,AD01,R,DB320.DBX0.5,门开启状态,BOOL,,R04,100,
,AutoDoor,AD01,R,DB320.DBX0.6,开门中,BOOL,,R05,100,
,AutoDoor,AD01,R,DB320.DBX0.7,关门中,BOOL,,R06,100,
,AutoDoor,AD01,R,DB320.DBX1.0,开门完成,BOOL,,R07,100,
,AutoDoor,AD01,R,DB320.DBX1.1,关门完成,BOOL,,R08,100,
,AutoDoor,AD01,R,DB320.DBX1.2,Auto Door 故障报错状态,BOOL,,R09,100,
,AutoDoor,AD01,R,DB320.DBX1.3,初始化回原点中,BOOL,,R10,100,
