服务器,设备,R/W,变量名,描述,变量类型,禁用,初始值
127.0.0.1,PSP1,R,DB300.DBX0.0,PSP_1#心跳信号,BOOL,,0/1（跳变）
,PSP1,R,DB300.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP1,R,DB300.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP1,R,DB300.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP1,R,DB300.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP1,R,DB300.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP1,R,DB300.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP1,R,DB300.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP1,W,DB301.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP1,W,DB301.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP1,W,DB301.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP1,W,DB301.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP1,W,DB301.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP2,R,DB302.DBX0.0,PSP_2#心跳信号,BOOL,,0/1（跳变）
,PSP2,R,DB302.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP2,R,DB302.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP2,R,DB302.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP2,R,DB302.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP2,R,DB302.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP2,R,DB302.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP2,R,DB302.DBX0.7,PSP故障报警信号,BOOL,,FALSE
,PSP2,W,DB303.DBX0.1,启动PSP运行,BOOL,,FALSE
,PSP2,W,DB303.DBX0.2,停止PSP运行,BOOL,,FALSE
,PSP2,W,DB303.DBX0.3,故障报警复位PSP运行,BOOL,,FALSE
,PSP2,W,DB303.DBX0.4,PSP紧急停止,BOOL,,FALSE
,PSP2,W,DB303.DBX0.5,火灾报警关闭PSP电源,BOOL,,FALSE
,PSP3,R,DB304.DBX0.0,,BOOL,1,
,PSP3,R,DB304.DBX0.1,PSP停止状态信号,BOOL,,FALSE
,PSP3,R,DB304.DBX0.2,PSP运行状态信号,BOOL,,FALSE
,PSP3,R,DB304.DBX0.3,PSP温度异常过高,BOOL,,FALSE
,PSP3,R,DB304.DBX0.4,PSP温度正常,BOOL,,TRUE
,PSP3,R,DB304.DBX0.5,电柜失电状态信号,BOOL,,FALSE
,PSP3,R,DB304.DBX0.6,电柜送电状态信号,BOOL,,FALSE
,PSP3,R,DB304.DBX0.7,PSP故障报警信号,BOOL,,FALSE
