服务器,设备类型,设备,R/W,变量名,描述,变量类型,禁用,绑定行为,绑定行为2
192.168.127.30,IZU,IZU1,R,DB21.DBX0.0,心跳信号,BOOL,,HEARTBEAT,R01
,IZU,IZU1,R,DB21.DBX0.1,硬件通讯端口连接正常,BOOL,,,R02
,IZU,IZU1,R,DB21.DBX0.2,IZU系统待机状态,BOOL,,,R03
,IZU,IZU1,R,DB21.DBX0.3,IZU系统自动运行状态,BOOL,,,R04
,IZU,IZU1,R,DB21.DBX0.4,IZU系统报错,BOOL,,,R05
,IZU,IZU1,R,DB21.DBX0.5,硬件通讯端口连接异常,BOOL,1,,R06
,IZU,IZU1,R,DB21.DBX0.6,联机请求OK,BOOL,,,R07
,IZU,IZU1,R,DB21.DBX0.7,IZU失电状态,BOOL,,,R08
,IZU,IZU1,R,DB21.DBX1.0,IZU紧急停止按钮,BOOL,,,R09
,IZU,IZU1,R,DB21.DBX1.1,IZU停止按钮,BOOL,,,R10
,IZU,IZU1,W,DB2.DBX0.0,心跳信号,BOOL,,SENDBACK,W01
,IZU,IZU1,W,DB2.DBX0.1,联机请求,BOOL,,ONLINE,W02
,IZU,IZU1,W,DB2.DBX0.2,联机正常,BOOL,,ONLINESTATE,W03
,IZU,IZU1,W,DB2.DBX0.3,联机失败/中断,BOOL,,,W04
,IZU,IZU1,R,DB21.DBX1.2,PSP_1#通讯异常,BOOL,,,R11
,IZU,IZU1,R,DB21.DBX1.3,PSP_2#通讯异常,BOOL,,,R12
,IZU,IZU1,R,DB21.DBX1.4,PSP_3#通讯异常,BOOL,,,R13
,IZU,IZU1,R,DB21.DBX1.5,PSP_4#通讯异常,BOOL,,,R14
,IZU,IZU1,R,DB21.DBX1.6,PSP_5#通讯异常,BOOL,,,R15
,IZU,IZU1,R,DB21.DBX1.7,PSP_6#通讯异常,BOOL,,,R16
,IZU,IZU1,R,DB21.DBX2.0,PSP_7#通讯异常,BOOL,,,R17
,IZU,IZU1,R,DB21.DBX2.1,PSP_8#通讯异常,BOOL,,,R18
,IZU,IZU1,R,DB21.DBX2.2,Auto Door_1#通讯异常,BOOL,,,R19
,IZU,IZU1,R,DB21.DBX2.3,Auto Door_2#通讯异常,BOOL,,,R20
